NIGRL - Complete Perk Reference Table (Updated 2026-04-03)
===========================================================

### Smoking (4 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | +3 TOL, +3 CON | +3 Tolerance, +3 Constitution |
| 2 | Phat Cloud | Smoking blows a phat cloud at nearest enemy, dealing damage based on Tolerance |
| 3 | Stress Smoke | 10% chance when hit to auto-smoke a random joint. Joint is not consumed |
| 4 | Roach Fiend | 30% chance a joint is not consumed when smoked |

### Rolling (5 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | +2 SWG, +2 TOL | +2 Swagger, +2 Tolerance |
| 2 | Spectral Paper | +2 Tolerance. Gain a Spectral Paper (reusable rolling paper, never consumed) |
| 3 | Seeing Double | 50% chance to roll an extra blunt when rolling |
| 4 | Snickelfritz | 25% chance to gain a bonus Snickelfritz joint (very negative strain) |
| 5 | Rollin' Cloud | Rolling a joint triggers Phat Cloud on nearest visible enemy |

### Pyromania (6 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Ignite | +2 CON. Grants Ignite spell (targeted ranged ignite on visible enemy) |
| 2 | Fire! | Grants Place Fire ability (line of 3 fire tiles, 10 turns, 3/floor) |
| 3 | Neva Burn Out | Immune to fire/ignite damage. Grants Place Fire Permanent ability (3/floor) |
| 4 | +3 CON | +3 Constitution. Ignite you apply lasts 5 turns longer |
| 5 | Wildfire | Ignited enemies have 20%/turn chance to spread fire to adjacent enemies with fewer stacks |
| 6 | Fireball | Grants Fireball ability (2-tile radius AOE, 15+BKS dmg, 3 ignite, 1/floor). +1 charge on killing enemy with 5+ ignite stacks |

### Blackkk Magic (4 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Curse of Ham | Cone curse (range 3, 60deg). Cursed monsters attack slower and deal 50% less damage. 3/floor |
| 2 | Curse of DOT | Single target curse. Gains stacks, deals 1-5 dmg (higher at more stacks). Spreads on death. 3/floor |
| 3 | Curse of COVID | Single target curse. Each turn applies 20 rad or tox (capped 150). 50% to stack, 25% to spread. 3/floor |
| 4 | Dark Covenant | All curses gain +3 charges per floor (6 total). Cursed enemies have 25% chance to drop a Voodoo Doll on death |

### Smartsness (4 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 2 | Spell Retention | +1 BKS. 15% chance when casting a spell to not consume the charge |
| 3 | Arcane Intelligence | On Smartsness XP gain: 25% chance to gain +2 Arcane Intelligence stacks (+1 spell damage per stack, 20 turns) |
| 4 | Spell Echo | +1 BKS. 15% chance on spell cast: spell fires again at same target for 50% damage, no charge consumed. Echo can chain. Retargets if target dies. Not channeled spells |
| 5 | Spellweaver | +3 BKS. Casting a different spell than your last within 5 turns deals +30% damage. Chain indefinitely by alternating spells |

### Stabbing (5 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Gouge | Grants Gouge ability (adjacent, dmg = STS, stuns 5t, breaks if you attack the target). 12t cooldown |
| 2 | +2 STS | +2 Street Smarts |
| 3 | Windfury | min(30, STS)% chance for an extra hit on stab attacks |
| 4 | +4 STS, +4 STR | +4 Street Smarts, +4 Strength |
| 5 | Lunge | Moving into tile with enemy directly ahead auto-crits for free |

### Beating (6 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | +3 STR | +3 Strength |
| 2 | Bash | Grants Bash ability (always crits, knockback 4 tiles. Wall hit = STR dmg, enemy collision = both take STR dmg. 10t cooldown) |
| 3 | Crit+ | +1 crit damage multiplier on all melee attacks |
| 4 | Aftershock | +2 STR. Landing a critical hit with a blunt weapon grants Aftershock (15t): next 3 attacks deal +Beating level×2 bonus damage and have 30% chance to stun (1 turn) |
| 5 | Overkill | +2 STR. Killing an enemy with a blunt weapon splashes excess damage to all enemies within radius 2. If the splash kills, it chains. No chain limit |
| 6 | Colossus | +3 STR, +3 CON. Toggle between two stances (free action, 5t cooldown). Wrecking: +40% melee damage, can't dodge, -2 DR. Fortress: +4 DR, 30% counter-attack for STR damage + 1t stun, -25% melee damage |

### Smacking (4 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Bitch Slap | Grants Bitch Slap ability (adjacent, STR dmg; vs females: 10 + 2xSTR. 25t cooldown) |
| 2 | +3 STR, +3 CON | +3 Strength, +3 Constitution |
| 3 | Black Eye | Unarmed attacks: 10% chance to apply Black Eye (2t stun then 10t dazed wandering) |
| 4 | Victory Rush | Gain 1 charge. On kill: +1 charge (max 1). Activate (free): next melee rolls crit twice (advantage) and heals 25% dmg dealt. 20t |

### Slashing (5 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Swashbuckling | 20% on slash hit: gain Swashbuckling (+1 slash dmg, +1% dodge). 20 turns, stacks infinitely, reapply refreshes duration |
| 2 | Whirlwind | Full melee attack on all adjacent enemies. Procs on-hit effects (Swashbuckling, weapon on-hits). 22t cooldown. Requires slashing weapon |
| 3 | Execute | Enemies below 25% HP take 2x damage from all sources. Multiplicative with toxicity and shocked |
| 4 | Blade Dancer | +3 STS, +3 STR. +15% dodge chance while wielding a slashing weapon |
| 5 | Crippling Strikes | +2 STR. 50% on slash hit: Hamstrung (-2 flat dmg/stack, infinite stacks). Reduces melee and ranged |

### Stealing (4 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Pickpocket | +2 STS. Grants Pickpocket ability (steal cash/item from adjacent enemy) |
| 2 | Sticky Fingers | First item pickup per floor: chance to gain +1 STS (chance = min(50%, value/1000)) |
| 3 | Shakedown | Enemies drop a bonus consumable on death. Chance: 10 + STS/3 % |
| 4 | Sleight of Hand | +2 STS. Pickpocket has min(STS*2, 60)% chance to distract target (next attack misses) |

### Jaywalking (6 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Air Jordans | Movement costs -10 energy |
| 2 | Dash | Grants Dash ability (move 3 tiles instantly in a direction) |
| 3 | Airer Jordans | +10 Speed |
| 4 | Shortcut | 2/floor. Target an explored tile to recall there. Channels 2 turns (moving cancels). Teleports to target room's center |
| 5 | Loitering | Stand still 3 consecutive turns (no move/attack/ability). Become untargetable 1 turn; all chasing enemies reset to IDLE |
| 6 | Momentum | 40% chance on melee hit to gain a Momentum stack. Each stack makes next movement free (0 energy). Consumed one at a time |

### Deep-Frying (4 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Fry Shot | Grants Fry Shot ability (hurl hot oil, area burn). Damage dealt = Deep-Frying XP |
| 2 | Extra Greasy | Fried food restores +20% HP when eaten |
| 3 | Oil Dump | 3/floor. Dump oil in radius-3 circle. Enemies get 3 Greasy stacks. Floor becomes grease (25t). Enemies on grease take CON/3 + DF_lvl/2 dmg/turn. Player capped at 3 Greasy from tiles |
| 4 | Hot Pot | +2 TOL. Eating food: 50% chance to gain Hot Pot charge (no cap, no expiry). Melee hits consume 1 charge: splash CON + DeepFrying*2 dmg to all adjacent enemies, apply 2 Greasy stacks |

### Drinking (4 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Liquid Bandage | Any drink heals +10% max HP on use |
| 2 | One More Sip | 20% chance drink is not consumed |
| 3 | Hair of the Dog | +2 TOL. When drink buff expires naturally, 30% chance to fully reapply it (same effects, full duration). Does not trigger hangover |
| 4 | Liquid Courage | +2 CON, +1 TOL. While any drink buff is active, deal 10% more melee damage. Each active drink stack adds +3% crit chance |

